Zhvi,Parking Tickets,Per capita income,Financial Institutions
411900,141,100377,146
351700,752,69889,56
433200,1986,68324,18
238900,290,59849,4
388600,457,58232,10
282800,709,56151,34
354000,2013,55647,16
336200,365,55316,9
323400,287,54698,29
173100,1226,53120,8
147600,1793,51305,21
296200,1585,51294,22
269500,1713,50042,17
229200,1731,48381,20
298800,1560,47905,13
287200,522,47512,6
216100,1085,45173,3
277000,2024,45064,15
278400,3189,42182,14
214500,1951,41438,8
395300,4279,41355,40
356600,1390,40972,54
112000,251,40792,0
170100,5342,40279,16
233700,4996,40165,25
296100,3255,40083,28
448100,3009,38487,26
176800,4389,37406,13
127000,3668,36334,7
395900,4363,35283,22
203300,1468,34293,8
130800,3818,33631,14
162100,3991,32622,11
237400,2548,32466,21
191100,2310,31571,21
176500,2602,31318,11
278100,2188,30625,29
256900,3795,28026,25
164900,3567,25705,13
261200,2269,25143,17
133200,3133,23228,8
127400,2726,22426,4
232500,2282,14205,9
