Zhvi,Parking Tickets,Per capita income,Services
411900,141,100377,652
351700,752,69889,686
433200,1986,68324,639
238900,290,59849,135
388600,457,58232,248
282800,709,56151,266
354000,2013,55647,527
336200,365,55316,260
323400,287,54698,275
173100,1226,53120,262
147600,1793,51305,313
296200,1585,51294,463
269500,1713,50042,536
229200,1731,48381,359
298800,1560,47905,516
287200,522,47512,143
216100,1085,45173,339
277000,2024,45064,406
278400,3189,42182,677
214500,1951,41438,172
395300,4279,41355,850
356600,1390,40972,511
112000,251,40792,46
170100,5342,40279,431
233700,4996,40165,944
296100,3255,40083,479
448100,3009,38487,557
176800,4389,37406,694
127000,3668,36334,366
395900,4363,35283,747
203300,1468,34293,238
130800,3818,33631,308
162100,3991,32622,406
237400,2548,32466,513
191100,2310,31571,158
176500,2602,31318,201
278100,2188,30625,452
256900,3795,28026,790
164900,3567,25705,646
261200,2269,25143,345
133200,3133,23228,173
127400,2726,22426,171
232500,2282,14205,154
